id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,segment,clv
7788,User7788,63.0,Non-Binary,Mobile,Side,,Night,0,Old,767
8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1,Young,7137
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1,Young,4387
7214,User7214,62.0,Non-Binary,Mobile,,Education,Unknown,0,Old,9167
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1,Old,1839
1214,User1214,26.0,Female,Mobile,,,Evening,1,Young,6394
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1,Old,6743
5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1,Young,5556
487,User487,28.0,Male,Mobile,Side,,Afternoon,1,Young,5187
9220,User9220,21.0,Female,Mobile,Side,,Night,1,Young,4843
1420,User1420,62.0,Non-Binary,Desktop,,,Morning,1,Old,9430
5258,User5258,50.0,Non-Binary,Desktop,Side,Education,Night,0,Mid-Old,1553
5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1,Old,9883
2964,User2964,40.0,Non-Binary,Mobile,Side,,Unknown,1,Mid-Young,977
6573,User6573,55.0,Non-Binary,Desktop,Side,,Evening,1,Old,8775
9075,User9075,36.0,Female,Mobile,,,Unknown,1,Mid-Young,7332
1503,User1503,19.0,Female,Tablet,Side,,Afternoon,1,Young,2887
4254,User4254,19.0,Male,Desktop,Bottom,,Afternoon,1,Young,8209
1099,User1099,36.0,Male,Tablet,Top,Shopping,Night,0,Mid-Young,4205
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1,Mid-Young,9210
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1,Mid-Young,9391
6883,User6883,32.0,Male,Desktop,Side,News,Afternoon,0,Mid-Young,4406
1470,User1470,25.0,Male,Tablet,Top,Social Media,Evening,0,Young,6826
4950,User4950,28.0,Male,Mobile,,,Morning,1,Young,8757
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Unknown,1,Mid-Young,8524
5193,User5193,50.0,Female,Desktop,,Education,Afternoon,1,Mid-Old,8532
4773,User4773,59.0,Male,Desktop,Top,Entertainment,Unknown,0,Old,4648
9075,User9075,36.0,Female,Mobile,,,Night,1,Mid-Young,7575
400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1,Mid-Old,3833
5403,User5403,61.0,Male,Desktop,Top,Education,Night,0,Old,7097
3333,User3333,30.0,Male,Tablet,Top,,Evening,1,Mid-Young,8205
5501,User5501,28.0,Non-Binary,Mobile,Bottom,,Unknown,1,Young,9299
3708,User3708,43.0,Male,Desktop,Top,,Evening,0,Mid-Old,9207
5945,User5945,42.0,Male,Desktop,Side,,Unknown,0,Mid-Old,1290
5664,User5664,32.0,Male,Mobile,Top,,Unknown,0,Mid-Young,5346
9806,User9806,58.0,Male,Tablet,Bottom,,Unknown,1,Old,5669
3299,User3299,44.0,Non-Binary,Tablet,Side,,Evening,1,Mid-Old,5248
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1,Old,3310
5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1,Mid-Old,1995
373,User373,34.0,Female,Mobile,,Education,Evening,1,Mid-Young,7372
6167,User6167,20.0,Male,Mobile,Side,,Night,1,Young,9294
5338,User5338,51.0,Male,Mobile,Top,Social Media,Morning,1,Mid-Old,8624
346,User346,29.0,Male,Mobile,Top,News,Evening,0,Young,3367
5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1,Mid-Old,9344
5951,User5951,41.0,Female,Tablet,Top,,Evening,0,Mid-Old,6025
5193,User5193,50.0,Female,Desktop,,Education,Unknown,1,Mid-Old,5440
4015,User4015,44.0,Male,Tablet,Side,,Evening,1,Mid-Old,8526
2913,User2913,57.0,Non-Binary,Mobile,Side,Social Media,Unknown,1,Old,6204
5766,User5766,63.0,Male,Desktop,Side,Social Media,Evening,1,Old,7502
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1,Old,8527
2542,User2542,58.0,Non-Binary,Mobile,,Entertainment,Evening,1,Old,2459
1445,User1445,44.0,Female,Mobile,Top,,Unknown,0,Mid-Old,4919
6811,User6811,24.0,Male,Mobile,Bottom,Education,Evening,1,Young,7986
1214,User1214,26.0,Female,Mobile,,News,Evening,1,Young,5423
966,User966,54.0,Male,Desktop,Bottom,,Night,1,Old,1487
3570,User3570,56.0,Female,Mobile,Side,,Evening,0,Old,4952
7748,User7748,57.0,Female,Desktop,Top,News,Night,0,Old,6653
5922,User5922,62.0,Female,Mobile,Side,Entertainment,Afternoon,0,Old,4735
9842,User9842,43.0,Non-Binary,Mobile,Top,,Afternoon,1,Mid-Old,6201
3523,User3523,22.0,Male,Desktop,Bottom,,Morning,0,Young,5041
9695,User9695,26.0,Male,Desktop,Side,Entertainment,Night,0,Young,9013
3236,User3236,56.0,Female,Mobile,Bottom,,Morning,1,Old,7518
2174,User2174,36.0,Female,Desktop,Bottom,,Afternoon,1,Mid-Young,4999
2964,User2964,40.0,Non-Binary,Mobile,,Entertainment,Night,1,Mid-Young,6842
3430,User3430,61.0,Male,Desktop,Side,Social Media,Morning,1,Old,7125
911,User911,32.0,Non-Binary,Desktop,Top,Entertainment,Night,1,Mid-Young,6027
6211,User6211,34.0,Female,Mobile,Top,,Night,0,Mid-Young,9145
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Unknown,1,Old,1668
7086,User7086,30.0,Non-Binary,Mobile,,,Morning,1,Mid-Young,4443
4559,User4559,30.0,Female,Desktop,Bottom,News,Night,0,Mid-Young,7821
5005,User5005,49.0,Male,Desktop,Top,Shopping,Unknown,1,Mid-Old,7939
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1,Mid-Young,6034
8726,User8726,62.0,Female,Desktop,Side,Education,Morning,1,Old,3035
210,User210,28.0,Male,Tablet,Top,,Afternoon,0,Young,8736
5890,User5890,56.0,Female,Mobile,Bottom,,Unknown,1,Old,9867
9075,User9075,36.0,Female,Mobile,Top,,Night,1,Mid-Young,4594
8174,User8174,20.0,Female,Mobile,Bottom,,Afternoon,1,Young,8427
5338,User5338,51.0,Male,Mobile,Top,Social Media,Unknown,1,Mid-Old,9466
316,User316,42.0,Non-Binary,Desktop,,Social Media,Night,1,Mid-Old,2214
1575,User1575,31.0,Non-Binary,Desktop,,,Night,0,Mid-Young,4685
3478,User3478,62.0,Non-Binary,Tablet,Top,,Night,0,Old,9565
3834,User3834,61.0,Male,Desktop,Bottom,,Night,0,Old,5054
1914,User1914,42.0,Male,Tablet,Bottom,Shopping,Night,1,Mid-Old,6899
2266,User2266,38.0,Non-Binary,Mobile,Bottom,,Unknown,0,Mid-Young,4026
5329,User5329,54.0,Male,Tablet,Side,,Evening,1,Old,3059
6237,User6237,32.0,Non-Binary,Mobile,Top,News,Morning,1,Mid-Young,4114
7699,User7699,45.0,Non-Binary,Tablet,Side,,Afternoon,0,Mid-Old,6062
5881,User5881,26.0,Non-Binary,Tablet,Top,,Unknown,1,Young,8858
6251,User6251,44.0,Non-Binary,Mobile,,Shopping,Morning,1,Mid-Old,3232
2239,User2239,25.0,Female,Tablet,Bottom,,Unknown,1,Young,2335
7511,User7511,31.0,Female,Desktop,Side,Shopping,Night,1,Mid-Young,9554
4527,User4527,52.0,Male,Mobile,,Education,Morning,0,Mid-Old,903
4359,User4359,36.0,Non-Binary,Desktop,Side,Social Media,Unknown,0,Mid-Young,3640
4945,User4945,31.0,Male,Tablet,,Social Media,Morning,1,Mid-Young,5858
5531,User5531,34.0,Male,Desktop,,News,Night,1,Mid-Young,6253
1945,User1945,20.0,Female,Tablet,Side,Entertainment,Night,1,Young,7574
7349,User7349,47.0,Female,Tablet,Side,Entertainment,Afternoon,0,Mid-Old,2333
9550,User9550,58.0,Non-Binary,Desktop,Top,Education,Unknown,1,Old,8323
270,User270,40.0,Non-Binary,Desktop,Side,News,Evening,0,Mid-Young,6320
277,User277,59.0,Male,Desktop,Top,Entertainment,Afternoon,1,Old,8697
9090,User9090,41.0,Male,Desktop,Side,,Morning,1,Mid-Old,9688
9888,User9888,49.0,Male,Mobile,Top,News,Unknown,1,Mid-Old,3854
4361,User4361,29.0,Male,Tablet,Side,,Afternoon,1,Young,8578
2693,User2693,64.0,Male,Desktop,Side,Shopping,Unknown,0,Old,7511
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1,Mid-Old,3708
9418,User9418,20.0,Male,Tablet,Side,,Unknown,1,Young,2625
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1,Old,3492
6854,User6854,32.0,Male,Mobile,Bottom,,Night,1,Mid-Young,7393
5891,User5891,24.0,Non-Binary,Tablet,Top,Education,Evening,0,Young,4516
9220,User9220,21.0,Female,Mobile,Side,Social Media,Night,1,Young,2261
375,User375,26.0,Non-Binary,Mobile,Top,Social Media,Evening,1,Young,2168
7973,User7973,28.0,Female,Mobile,Bottom,Shopping,Morning,1,Young,5078
6637,User6637,27.0,Non-Binary,Mobile,,Social Media,Unknown,0,Young,4354
8149,User8149,42.0,Non-Binary,Mobile,Side,Education,Morning,0,Mid-Old,8096
3430,User3430,61.0,Male,Desktop,Side,Social Media,Morning,1,Old,5286
1483,User1483,54.0,Non-Binary,Tablet,Bottom,Education,Unknown,0,Old,8013
647,User647,53.0,Non-Binary,Desktop,Side,Shopping,Morning,0,Old,7330
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1,Mid-Young,8965
2934,User2934,26.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1,Young,1307
4742,User4742,31.0,Male,Desktop,,,Night,1,Mid-Young,9721
8392,User8392,38.0,Male,Mobile,Side,,Evening,0,Mid-Young,3090
5647,User5647,46.0,Female,Tablet,Side,,Morning,1,Mid-Old,6139
1975,User1975,30.0,Female,Mobile,Top,Social Media,Morning,1,Mid-Young,7348
4029,User4029,21.0,Female,Desktop,Side,,Afternoon,1,Young,3734
2876,User2876,23.0,Non-Binary,Tablet,Top,Education,Morning,1,Young,7833
5894,User5894,57.0,Male,Desktop,Side,Social Media,Evening,0,Old,7653
6966,User6966,39.0,Non-Binary,Tablet,Side,,Evening,0,Mid-Young,8200
9260,User9260,37.0,Female,Desktop,Top,Education,Afternoon,0,Mid-Young,9414
1945,User1945,20.0,Female,Tablet,Side,Entertainment,Night,1,Young,3705
5198,User5198,47.0,Male,Desktop,Bottom,Education,Unknown,1,Mid-Old,6375
3335,User3335,24.0,Male,Mobile,Top,Entertainment,Night,1,Young,4656
6131,User6131,43.0,Male,Tablet,Top,Entertainment,Unknown,0,Mid-Old,1989
2142,User2142,34.0,Non-Binary,Desktop,,Shopping,Unknown,1,Mid-Young,7013
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Night,1,Old,1397
8426,User8426,21.0,Male,Mobile,Side,,Night,0,Young,4172
6438,User6438,53.0,Non-Binary,Tablet,Top,Shopping,Unknown,1,Old,2028
7229,User7229,43.0,Non-Binary,Mobile,Top,Social Media,Night,1,Mid-Old,1033
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Evening,1,Mid-Young,500
5055,User5055,45.0,Male,Desktop,Top,,Morning,1,Mid-Old,5722
7196,User7196,20.0,Female,Tablet,Side,,Night,0,Young,4505
444,User444,53.0,Non-Binary,Desktop,,,Evening,0,Old,4627
8345,User8345,60.0,Male,Desktop,Top,,Afternoon,0,Old,6689
4215,User4215,46.0,Non-Binary,Desktop,Top,,Morning,0,Mid-Old,3330
3336,User3336,26.0,Non-Binary,Desktop,Bottom,,Unknown,1,Young,9133
5329,User5329,54.0,Male,Tablet,Side,Education,Evening,1,Old,7445
5574,User5574,52.0,Female,Desktop,,,Afternoon,1,Mid-Old,645
5029,User5029,25.0,Female,Mobile,Top,News,Night,0,Young,9321
2934,User2934,26.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1,Young,5439
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Unknown,1,Mid-Young,7442
3833,User3833,57.0,Male,Desktop,,Entertainment,Night,0,Old,7289
2174,User2174,36.0,Female,Desktop,,Entertainment,Afternoon,1,Mid-Young,2996
1635,User1635,54.0,Female,Tablet,,News,Unknown,1,Old,4439
6143,User6143,29.0,Non-Binary,Mobile,Bottom,,Afternoon,1,Young,1921
7241,User7241,34.0,Female,Tablet,Side,News,Afternoon,0,Mid-Young,519
1910,User1910,63.0,Male,Desktop,Side,Social Media,Night,1,Old,5324
3070,User3070,30.0,Male,Desktop,Top,,Afternoon,0,Mid-Young,7260
6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1,Young,3093
2928,User2928,43.0,Non-Binary,Desktop,Side,News,Evening,0,Mid-Old,6470
6143,User6143,29.0,Non-Binary,Mobile,Bottom,,Unknown,1,Young,1712
8973,User8973,26.0,Male,Tablet,Side,,Night,0,Young,8056
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1,Young,8078
911,User911,32.0,Non-Binary,Desktop,Top,Entertainment,Night,1,Mid-Young,5202
9090,User9090,41.0,Male,Desktop,Side,,Morning,1,Mid-Old,2238
5289,User5289,39.0,Male,Mobile,Top,,Evening,0,Mid-Young,7979
5756,User5756,51.0,Non-Binary,Tablet,,,Afternoon,1,Mid-Old,7861
9990,User9990,25.0,Male,Desktop,Side,,Night,1,Young,5421
2326,User2326,50.0,Female,Tablet,Side,Entertainment,Morning,0,Mid-Old,8744
5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1,Young,660
6251,User6251,44.0,Non-Binary,Mobile,Side,Shopping,Unknown,1,Mid-Old,8656
5756,User5756,51.0,Non-Binary,Tablet,,,Unknown,1,Mid-Old,932
581,User581,31.0,Female,Tablet,Side,Social Media,Unknown,0,Mid-Young,4332
1253,User1253,36.0,Female,Desktop,Bottom,Shopping,Unknown,1,Mid-Young,6826
5193,User5193,50.0,Female,Desktop,Side,,Afternoon,1,Mid-Old,5757
6288,User6288,61.0,Non-Binary,Tablet,Bottom,News,Afternoon,1,Old,5853
6576,User6576,62.0,Female,Desktop,,,Morning,1,Old,6085
472,User472,53.0,Non-Binary,Mobile,,Social Media,Morning,0,Old,1907
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1,Mid-Young,6366
7780,User7780,19.0,Male,Tablet,Bottom,,Afternoon,0,Young,3331
8361,User8361,41.0,Female,Mobile,Side,News,Unknown,1,Mid-Old,3824
9090,User9090,41.0,Male,Desktop,Side,,Morning,1,Mid-Old,9557
1969,User1969,46.0,Non-Binary,Mobile,Bottom,,Night,1,Mid-Old,6085
3118,User3118,57.0,Male,Mobile,Top,,Evening,1,Old,2344
1969,User1969,46.0,Non-Binary,Mobile,Bottom,,Unknown,1,Mid-Old,6912
8147,User8147,32.0,Female,Desktop,Top,,Unknown,1,Mid-Young,8544
3537,User3537,58.0,Female,Tablet,Side,,Morning,0,Old,2261
7195,User7195,43.0,Male,Desktop,,,Afternoon,0,Mid-Old,3366
4620,User4620,43.0,Non-Binary,Mobile,Side,,Night,1,Mid-Old,9579
487,User487,28.0,Male,Mobile,Side,,Unknown,1,Young,1488
5953,User5953,27.0,Female,Desktop,Top,,Night,0,Young,8935
6115,User6115,58.0,Non-Binary,Desktop,Bottom,Shopping,Evening,0,Old,8831
4976,User4976,34.0,Female,Mobile,Bottom,Entertainment,Afternoon,1,Mid-Young,8713
5801,User5801,59.0,Female,Tablet,,Education,Unknown,0,Old,4335
7475,User7475,53.0,Female,Tablet,,,Afternoon,1,Old,9089
373,User373,34.0,Female,Mobile,Top,,Evening,1,Mid-Young,9376
7376,User7376,21.0,Female,Mobile,Side,News,Morning,1,Young,1541
7973,User7973,28.0,Female,Mobile,,Shopping,Unknown,1,Young,3066
6724,User6724,37.0,Female,Desktop,Top,Entertainment,Evening,1,Mid-Young,1778
8549,User8549,41.0,Male,Tablet,Top,Shopping,Night,0,Mid-Old,4567
911,User911,32.0,Non-Binary,Desktop,Top,Entertainment,Night,1,Mid-Young,605
4152,User4152,33.0,Female,Tablet,Side,News,Unknown,0,Mid-Young,9432
7688,User7688,57.0,Male,Mobile,,News,Evening,1,Old,3098
4397,User4397,62.0,Female,Mobile,Top,,Afternoon,0,Old,7703
2548,User2548,55.0,Male,Desktop,Top,,Evening,0,Old,7619
6724,User6724,37.0,Female,Desktop,Top,,Evening,1,Mid-Young,8884
6350,User6350,31.0,Male,Mobile,Bottom,Social Media,Afternoon,0,Mid-Young,3866
4707,User4707,21.0,Non-Binary,Desktop,Top,,Evening,1,Young,9799
4061,User4061,44.0,Female,Tablet,Side,,Night,0,Mid-Old,1204
6679,User6679,26.0,Male,Tablet,Bottom,Entertainment,Night,1,Young,2394
9377,User9377,45.0,Male,Tablet,Bottom,,Morning,0,Mid-Old,7120
1297,User1297,60.0,Male,Tablet,,Social Media,Afternoon,0,Old,4572
2021,User2021,41.0,Male,Mobile,Bottom,Social Media,Night,1,Mid-Old,9901
2946,User2946,37.0,Female,Desktop,Bottom,,Afternoon,1,Mid-Young,9528
3697,User3697,27.0,Non-Binary,Mobile,,,Evening,0,Young,7729
1141,User1141,37.0,Male,Desktop,,,Unknown,1,Mid-Young,2850
3243,User3243,49.0,Female,Mobile,Bottom,News,Afternoon,0,Mid-Old,6633
6401,User6401,45.0,Female,Mobile,Side,Social Media,Morning,1,Mid-Old,4182
5346,User5346,30.0,Non-Binary,Tablet,Top,News,Morning,1,Mid-Young,5518
2964,User2964,40.0,Non-Binary,Mobile,,Entertainment,Night,1,Mid-Young,6907
9827,User9827,22.0,Non-Binary,Mobile,Top,,Evening,0,Young,4195
2485,User2485,57.0,Non-Binary,Mobile,Bottom,News,Night,1,Old,2259
9155,User9155,29.0,Male,Desktop,Top,,Night,0,Young,4765
400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1,Mid-Old,4646
7592,User7592,36.0,Male,Desktop,Bottom,Social Media,Unknown,0,Mid-Young,3543
8936,User8936,53.0,Male,Mobile,Top,Education,Afternoon,0,Old,5469
2510,User2510,47.0,Male,Mobile,Side,,Afternoon,0,Mid-Old,1795
4830,User4830,32.0,Female,Mobile,Bottom,,Evening,0,Mid-Young,989
2513,User2513,50.0,Male,Tablet,Top,Social Media,Afternoon,0,Mid-Old,5317
3892,User3892,29.0,Male,Desktop,,Entertainment,Evening,0,Young,504
389,User389,31.0,Non-Binary,Tablet,Top,Social Media,Afternoon,1,Mid-Young,9705
6854,User6854,32.0,Male,Mobile,Bottom,,Night,1,Mid-Young,9900
3604,User3604,49.0,Male,Tablet,Bottom,News,Morning,1,Mid-Old,5250
6193,User6193,29.0,Female,Desktop,Bottom,,Afternoon,1,Young,844
7086,User7086,30.0,Non-Binary,Mobile,Top,,Morning,1,Mid-Young,502
1253,User1253,36.0,Female,Desktop,Bottom,Shopping,Morning,1,Mid-Young,4397
6620,User6620,52.0,Female,Tablet,Top,,Morning,1,Mid-Old,9741
7086,User7086,30.0,Non-Binary,Mobile,Top,,Unknown,1,Mid-Young,3052
2173,User2173,52.0,Male,Mobile,Bottom,Shopping,Night,1,Mid-Old,7701
4742,User4742,31.0,Male,Desktop,Bottom,,Night,1,Mid-Young,2299
5890,User5890,56.0,Female,Mobile,Bottom,,Night,1,Old,7182
487,User487,28.0,Male,Mobile,Side,,Afternoon,1,Young,8897
8937,User8937,57.0,Male,Tablet,Side,,Afternoon,1,Old,8376
3144,User3144,24.0,Male,Desktop,Side,Shopping,Morning,1,Young,7859
6237,User6237,32.0,Non-Binary,Mobile,Top,News,Morning,1,Mid-Young,8307
4945,User4945,31.0,Male,Tablet,Top,Social Media,Morning,1,Mid-Young,5700
2934,User2934,26.0,Non-Binary,Desktop,Top,,Afternoon,1,Young,9731
234,User234,19.0,Female,Tablet,Bottom,,Morning,1,Young,9127
7582,User7582,50.0,Male,Tablet,Side,,Night,0,Mid-Old,6303
4391,User4391,39.0,Non-Binary,Mobile,,News,Night,0,Mid-Young,5755
7464,User7464,52.0,Non-Binary,Tablet,Bottom,News,Afternoon,0,Mid-Old,6834
4683,User4683,50.0,Non-Binary,Desktop,,,Unknown,0,Mid-Old,623
9589,User9589,54.0,Non-Binary,Tablet,Bottom,Shopping,Night,0,Old,1104
2602,User2602,61.0,Female,Desktop,Side,Shopping,Unknown,1,Old,9724
7808,User7808,26.0,Female,Desktop,,,Night,1,Young,9312
6075,User6075,32.0,Non-Binary,Desktop,Side,,Night,1,Mid-Young,985
9090,User9090,41.0,Male,Desktop,Side,,Morning,1,Mid-Old,3385
4756,User4756,59.0,Non-Binary,Mobile,Bottom,Education,Evening,1,Old,4414
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1,Mid-Old,5334
5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1,Young,1115
5329,User5329,54.0,Male,Tablet,,Education,Unknown,1,Old,2774
3330,User3330,49.0,Male,Desktop,Top,News,Afternoon,1,Mid-Old,6412
4707,User4707,21.0,Non-Binary,Desktop,Top,,Evening,1,Young,1523
4871,User4871,58.0,Female,Desktop,Side,,Night,1,Old,967
2057,User2057,33.0,Non-Binary,Mobile,Bottom,,Unknown,0,Mid-Young,4580
2973,User2973,27.0,Non-Binary,Tablet,Bottom,,Unknown,1,Young,3477
2173,User2173,52.0,Male,Mobile,Bottom,Shopping,Night,1,Mid-Old,1782
7808,User7808,26.0,Female,Desktop,Top,,Night,1,Young,4916
5288,User5288,43.0,Female,Mobile,Top,News,Evening,0,Mid-Old,7485
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1,Old,9436
6854,User6854,32.0,Male,Mobile,,,Night,1,Mid-Young,5339
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Evening,1,Mid-Young,4013
9677,User9677,39.0,Non-Binary,Mobile,,Education,Night,0,Mid-Young,6681
2485,User2485,57.0,Non-Binary,Mobile,Bottom,News,Night,1,Old,875
1762,User1762,41.0,Male,Desktop,Side,Entertainment,Afternoon,1,Mid-Old,4929
4756,User4756,59.0,Non-Binary,Mobile,Bottom,Education,Evening,1,Old,7573
1525,User1525,46.0,Male,Tablet,Top,,Unknown,0,Mid-Old,5123
3430,User3430,61.0,Male,Desktop,,,Unknown,1,Old,8160
1658,User1658,27.0,Female,Mobile,Side,News,Night,0,Young,9552
1969,User1969,46.0,Non-Binary,Mobile,Bottom,,Night,1,Mid-Old,8950
6765,User6765,46.0,Female,Tablet,Side,Entertainment,Morning,1,Mid-Old,4654
2114,User2114,20.0,Male,Tablet,Bottom,,Morning,0,Young,8385
8044,User8044,34.0,Male,Tablet,Bottom,,Unknown,0,Mid-Young,9158
2384,User2384,37.0,Non-Binary,Desktop,Side,Education,Afternoon,0,Mid-Young,5037
301,User301,59.0,Male,Tablet,Side,Social Media,Unknown,1,Old,2078
