id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
6438,User6438,53.0,Non-Binary,Tablet,,,Night,1
9842,User9842,43.0,Non-Binary,Mobile,,Shopping,Afternoon,1
6989,User6989,28.0,Male,Mobile,,Shopping,Afternoon,1
2156,User2156,46.0,Female,Tablet,Side,,Unknown,1
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1
9748,User9748,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
5082,User5082,44.0,Female,Mobile,Top,,Afternoon,1
5329,User5329,54.0,Male,Tablet,Side,,Evening,1
9990,User9990,25.0,Male,Desktop,Side,,Night,1
4625,User4625,33.0,Non-Binary,Mobile,Top,News,Morning,0
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
3215,User3215,33.0,Male,Mobile,Side,,Afternoon,0
1908,User1908,26.0,Male,Mobile,Bottom,,Evening,1
9137,User9137,35.0,Female,Desktop,Side,Social Media,Unknown,0
8085,User8085,35.0,Non-Binary,Mobile,,,Evening,0
933,User933,41.0,Female,Tablet,,Entertainment,Night,0
6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1
6919,User6919,45.0,Non-Binary,Desktop,Top,Social Media,Night,0
7808,User7808,26.0,Female,Desktop,Top,,Night,1
4450,User4450,45.0,Female,Mobile,Top,,Evening,0
8174,User8174,20.0,Female,Mobile,Bottom,,Unknown,1
8561,User8561,52.0,Male,Mobile,Bottom,,Evening,1
7678,User7678,53.0,Female,Desktop,Top,Social Media,Night,0
7788,User7788,63.0,Non-Binary,Mobile,Side,,Night,0
8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1
7214,User7214,62.0,Non-Binary,Mobile,,Education,Unknown,0
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1
1214,User1214,26.0,Female,Mobile,,,Evening,1
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1
487,User487,28.0,Male,Mobile,Side,,Afternoon,1
9220,User9220,21.0,Female,Mobile,Side,,Night,1
1420,User1420,62.0,Non-Binary,Desktop,,,Morning,1
5258,User5258,50.0,Non-Binary,Desktop,Side,Education,Night,0
5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1
2964,User2964,40.0,Non-Binary,Mobile,Side,,Unknown,1
6573,User6573,55.0,Non-Binary,Desktop,Side,,Evening,1
9075,User9075,36.0,Female,Mobile,,,Unknown,1
1503,User1503,19.0,Female,Tablet,Side,,Afternoon,1
4254,User4254,19.0,Male,Desktop,Bottom,,Afternoon,1
1099,User1099,36.0,Male,Tablet,Top,Shopping,Night,0
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1
6883,User6883,32.0,Male,Desktop,Side,News,Afternoon,0
1470,User1470,25.0,Male,Tablet,Top,Social Media,Evening,0
4950,User4950,28.0,Male,Mobile,,,Morning,1
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Unknown,1
5193,User5193,50.0,Female,Desktop,,Education,Afternoon,1
4773,User4773,59.0,Male,Desktop,Top,Entertainment,Unknown,0
9075,User9075,36.0,Female,Mobile,,,Night,1
400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1
5403,User5403,61.0,Male,Desktop,Top,Education,Night,0
3333,User3333,30.0,Male,Tablet,Top,,Evening,1
5501,User5501,28.0,Non-Binary,Mobile,Bottom,,Unknown,1
3708,User3708,43.0,Male,Desktop,Top,,Evening,0
5945,User5945,42.0,Male,Desktop,Side,,Unknown,0
5664,User5664,32.0,Male,Mobile,Top,,Unknown,0
9806,User9806,58.0,Male,Tablet,Bottom,,Unknown,1
3299,User3299,44.0,Non-Binary,Tablet,Side,,Evening,1
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
373,User373,34.0,Female,Mobile,,Education,Evening,1
6167,User6167,20.0,Male,Mobile,Side,,Night,1
5338,User5338,51.0,Male,Mobile,Top,Social Media,Morning,1
346,User346,29.0,Male,Mobile,Top,News,Evening,0
5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5951,User5951,41.0,Female,Tablet,Top,,Evening,0
5193,User5193,50.0,Female,Desktop,,Education,Unknown,1
4015,User4015,44.0,Male,Tablet,Side,,Evening,1
2913,User2913,57.0,Non-Binary,Mobile,Side,Social Media,Unknown,1
5766,User5766,63.0,Male,Desktop,Side,Social Media,Evening,1
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
2542,User2542,58.0,Non-Binary,Mobile,,Entertainment,Evening,1
1445,User1445,44.0,Female,Mobile,Top,,Unknown,0
6811,User6811,24.0,Male,Mobile,Bottom,Education,Evening,1
1214,User1214,26.0,Female,Mobile,,News,Evening,1
966,User966,54.0,Male,Desktop,Bottom,,Night,1
3570,User3570,56.0,Female,Mobile,Side,,Evening,0
7748,User7748,57.0,Female,Desktop,Top,News,Night,0
5922,User5922,62.0,Female,Mobile,Side,Entertainment,Afternoon,0
9842,User9842,43.0,Non-Binary,Mobile,Top,,Afternoon,1
3523,User3523,22.0,Male,Desktop,Bottom,,Morning,0
9695,User9695,26.0,Male,Desktop,Side,Entertainment,Night,0
3236,User3236,56.0,Female,Mobile,Bottom,,Morning,1
2174,User2174,36.0,Female,Desktop,Bottom,,Afternoon,1
2964,User2964,40.0,Non-Binary,Mobile,,Entertainment,Night,1
3430,User3430,61.0,Male,Desktop,Side,Social Media,Morning,1
911,User911,32.0,Non-Binary,Desktop,Top,Entertainment,Night,1
6211,User6211,34.0,Female,Mobile,Top,,Night,0
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Unknown,1
7086,User7086,30.0,Non-Binary,Mobile,,,Morning,1
4559,User4559,30.0,Female,Desktop,Bottom,News,Night,0
5005,User5005,49.0,Male,Desktop,Top,Shopping,Unknown,1
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
8726,User8726,62.0,Female,Desktop,Side,Education,Morning,1
210,User210,28.0,Male,Tablet,Top,,Afternoon,0
5890,User5890,56.0,Female,Mobile,Bottom,,Unknown,1
9075,User9075,36.0,Female,Mobile,Top,,Night,1
8174,User8174,20.0,Female,Mobile,Bottom,,Afternoon,1
5338,User5338,51.0,Male,Mobile,Top,Social Media,Unknown,1
316,User316,42.0,Non-Binary,Desktop,,Social Media,Night,1
1575,User1575,31.0,Non-Binary,Desktop,,,Night,0
3478,User3478,62.0,Non-Binary,Tablet,Top,,Night,0
3834,User3834,61.0,Male,Desktop,Bottom,,Night,0
1914,User1914,42.0,Male,Tablet,Bottom,Shopping,Night,1
2266,User2266,38.0,Non-Binary,Mobile,Bottom,,Unknown,0
5329,User5329,54.0,Male,Tablet,Side,,Evening,1
6237,User6237,32.0,Non-Binary,Mobile,Top,News,Morning,1
7699,User7699,45.0,Non-Binary,Tablet,Side,,Afternoon,0
5881,User5881,26.0,Non-Binary,Tablet,Top,,Unknown,1
6251,User6251,44.0,Non-Binary,Mobile,,Shopping,Morning,1
2239,User2239,25.0,Female,Tablet,Bottom,,Unknown,1
7511,User7511,31.0,Female,Desktop,Side,Shopping,Night,1
4527,User4527,52.0,Male,Mobile,,Education,Morning,0
4359,User4359,36.0,Non-Binary,Desktop,Side,Social Media,Unknown,0
4945,User4945,31.0,Male,Tablet,,Social Media,Morning,1
5531,User5531,34.0,Male,Desktop,,News,Night,1
1945,User1945,20.0,Female,Tablet,Side,Entertainment,Night,1
7349,User7349,47.0,Female,Tablet,Side,Entertainment,Afternoon,0
9550,User9550,58.0,Non-Binary,Desktop,Top,Education,Unknown,1
270,User270,40.0,Non-Binary,Desktop,Side,News,Evening,0
277,User277,59.0,Male,Desktop,Top,Entertainment,Afternoon,1
9090,User9090,41.0,Male,Desktop,Side,,Morning,1
9888,User9888,49.0,Male,Mobile,Top,News,Unknown,1
4361,User4361,29.0,Male,Tablet,Side,,Afternoon,1
2693,User2693,64.0,Male,Desktop,Side,Shopping,Unknown,0
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1
9418,User9418,20.0,Male,Tablet,Side,,Unknown,1
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
6854,User6854,32.0,Male,Mobile,Bottom,,Night,1
5891,User5891,24.0,Non-Binary,Tablet,Top,Education,Evening,0
9220,User9220,21.0,Female,Mobile,Side,Social Media,Night,1
375,User375,26.0,Non-Binary,Mobile,Top,Social Media,Evening,1
7973,User7973,28.0,Female,Mobile,Bottom,Shopping,Morning,1
6637,User6637,27.0,Non-Binary,Mobile,,Social Media,Unknown,0
8149,User8149,42.0,Non-Binary,Mobile,Side,Education,Morning,0
3430,User3430,61.0,Male,Desktop,Side,Social Media,Morning,1
1483,User1483,54.0,Non-Binary,Tablet,Bottom,Education,Unknown,0
647,User647,53.0,Non-Binary,Desktop,Side,Shopping,Morning,0
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1
2934,User2934,26.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
4742,User4742,31.0,Male,Desktop,,,Night,1
8392,User8392,38.0,Male,Mobile,Side,,Evening,0
5647,User5647,46.0,Female,Tablet,Side,,Morning,1
1975,User1975,30.0,Female,Mobile,Top,Social Media,Morning,1
4029,User4029,21.0,Female,Desktop,Side,,Afternoon,1
2876,User2876,23.0,Non-Binary,Tablet,Top,Education,Morning,1
5894,User5894,57.0,Male,Desktop,Side,Social Media,Evening,0
6966,User6966,39.0,Non-Binary,Tablet,Side,,Evening,0
9260,User9260,37.0,Female,Desktop,Top,Education,Afternoon,0
1945,User1945,20.0,Female,Tablet,Side,Entertainment,Night,1
5198,User5198,47.0,Male,Desktop,Bottom,Education,Unknown,1
3335,User3335,24.0,Male,Mobile,Top,Entertainment,Night,1
6131,User6131,43.0,Male,Tablet,Top,Entertainment,Unknown,0
2142,User2142,34.0,Non-Binary,Desktop,,Shopping,Unknown,1
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Night,1
8426,User8426,21.0,Male,Mobile,Side,,Night,0
6438,User6438,53.0,Non-Binary,Tablet,Top,Shopping,Unknown,1
7229,User7229,43.0,Non-Binary,Mobile,Top,Social Media,Night,1
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Evening,1
5055,User5055,45.0,Male,Desktop,Top,,Morning,1
7196,User7196,20.0,Female,Tablet,Side,,Night,0
444,User444,53.0,Non-Binary,Desktop,,,Evening,0
8345,User8345,60.0,Male,Desktop,Top,,Afternoon,0
4215,User4215,46.0,Non-Binary,Desktop,Top,,Morning,0
3336,User3336,26.0,Non-Binary,Desktop,Bottom,,Unknown,1
5329,User5329,54.0,Male,Tablet,Side,Education,Evening,1
5574,User5574,52.0,Female,Desktop,,,Afternoon,1
5029,User5029,25.0,Female,Mobile,Top,News,Night,0
2934,User2934,26.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Unknown,1
3833,User3833,57.0,Male,Desktop,,Entertainment,Night,0
2174,User2174,36.0,Female,Desktop,,Entertainment,Afternoon,1
1635,User1635,54.0,Female,Tablet,,News,Unknown,1
6143,User6143,29.0,Non-Binary,Mobile,Bottom,,Afternoon,1
7241,User7241,34.0,Female,Tablet,Side,News,Afternoon,0
1910,User1910,63.0,Male,Desktop,Side,Social Media,Night,1
3070,User3070,30.0,Male,Desktop,Top,,Afternoon,0
6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1
2928,User2928,43.0,Non-Binary,Desktop,Side,News,Evening,0
6143,User6143,29.0,Non-Binary,Mobile,Bottom,,Unknown,1
8973,User8973,26.0,Male,Tablet,Side,,Night,0
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1
911,User911,32.0,Non-Binary,Desktop,Top,Entertainment,Night,1
9090,User9090,41.0,Male,Desktop,Side,,Morning,1
5289,User5289,39.0,Male,Mobile,Top,,Evening,0
5756,User5756,51.0,Non-Binary,Tablet,,,Afternoon,1
9990,User9990,25.0,Male,Desktop,Side,,Night,1
2326,User2326,50.0,Female,Tablet,Side,Entertainment,Morning,0
5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1
6251,User6251,44.0,Non-Binary,Mobile,Side,Shopping,Unknown,1
5756,User5756,51.0,Non-Binary,Tablet,,,Unknown,1
581,User581,31.0,Female,Tablet,Side,Social Media,Unknown,0
1253,User1253,36.0,Female,Desktop,Bottom,Shopping,Unknown,1
5193,User5193,50.0,Female,Desktop,Side,,Afternoon,1
6288,User6288,61.0,Non-Binary,Tablet,Bottom,News,Afternoon,1
6576,User6576,62.0,Female,Desktop,,,Morning,1
472,User472,53.0,Non-Binary,Mobile,,Social Media,Morning,0
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
7780,User7780,19.0,Male,Tablet,Bottom,,Afternoon,0
8361,User8361,41.0,Female,Mobile,Side,News,Unknown,1
9090,User9090,41.0,Male,Desktop,Side,,Morning,1
1969,User1969,46.0,Non-Binary,Mobile,Bottom,,Night,1
3118,User3118,57.0,Male,Mobile,Top,,Evening,1
1969,User1969,46.0,Non-Binary,Mobile,Bottom,,Unknown,1
8147,User8147,32.0,Female,Desktop,Top,,Unknown,1
3537,User3537,58.0,Female,Tablet,Side,,Morning,0
7195,User7195,43.0,Male,Desktop,,,Afternoon,0
4620,User4620,43.0,Non-Binary,Mobile,Side,,Night,1
487,User487,28.0,Male,Mobile,Side,,Unknown,1
5953,User5953,27.0,Female,Desktop,Top,,Night,0
6115,User6115,58.0,Non-Binary,Desktop,Bottom,Shopping,Evening,0
4976,User4976,34.0,Female,Mobile,Bottom,Entertainment,Afternoon,1
5801,User5801,59.0,Female,Tablet,,Education,Unknown,0
7475,User7475,53.0,Female,Tablet,,,Afternoon,1
373,User373,34.0,Female,Mobile,Top,,Evening,1
7376,User7376,21.0,Female,Mobile,Side,News,Morning,1
7973,User7973,28.0,Female,Mobile,,Shopping,Unknown,1
6724,User6724,37.0,Female,Desktop,Top,Entertainment,Evening,1
8549,User8549,41.0,Male,Tablet,Top,Shopping,Night,0
911,User911,32.0,Non-Binary,Desktop,Top,Entertainment,Night,1
4152,User4152,33.0,Female,Tablet,Side,News,Unknown,0
7688,User7688,57.0,Male,Mobile,,News,Evening,1
4397,User4397,62.0,Female,Mobile,Top,,Afternoon,0
2548,User2548,55.0,Male,Desktop,Top,,Evening,0
6724,User6724,37.0,Female,Desktop,Top,,Evening,1
6350,User6350,31.0,Male,Mobile,Bottom,Social Media,Afternoon,0
4707,User4707,21.0,Non-Binary,Desktop,Top,,Evening,1
4061,User4061,44.0,Female,Tablet,Side,,Night,0
6679,User6679,26.0,Male,Tablet,Bottom,Entertainment,Night,1
9377,User9377,45.0,Male,Tablet,Bottom,,Morning,0
1297,User1297,60.0,Male,Tablet,,Social Media,Afternoon,0
2021,User2021,41.0,Male,Mobile,Bottom,Social Media,Night,1
2946,User2946,37.0,Female,Desktop,Bottom,,Afternoon,1
3697,User3697,27.0,Non-Binary,Mobile,,,Evening,0
1141,User1141,37.0,Male,Desktop,,,Unknown,1
3243,User3243,49.0,Female,Mobile,Bottom,News,Afternoon,0
6401,User6401,45.0,Female,Mobile,Side,Social Media,Morning,1
5346,User5346,30.0,Non-Binary,Tablet,Top,News,Morning,1
2964,User2964,40.0,Non-Binary,Mobile,,Entertainment,Night,1
9827,User9827,22.0,Non-Binary,Mobile,Top,,Evening,0
2485,User2485,57.0,Non-Binary,Mobile,Bottom,News,Night,1
9155,User9155,29.0,Male,Desktop,Top,,Night,0
400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1
7592,User7592,36.0,Male,Desktop,Bottom,Social Media,Unknown,0
8936,User8936,53.0,Male,Mobile,Top,Education,Afternoon,0
2510,User2510,47.0,Male,Mobile,Side,,Afternoon,0
4830,User4830,32.0,Female,Mobile,Bottom,,Evening,0
2513,User2513,50.0,Male,Tablet,Top,Social Media,Afternoon,0
3892,User3892,29.0,Male,Desktop,,Entertainment,Evening,0
389,User389,31.0,Non-Binary,Tablet,Top,Social Media,Afternoon,1
6854,User6854,32.0,Male,Mobile,Bottom,,Night,1
3604,User3604,49.0,Male,Tablet,Bottom,News,Morning,1
6193,User6193,29.0,Female,Desktop,Bottom,,Afternoon,1
7086,User7086,30.0,Non-Binary,Mobile,Top,,Morning,1
1253,User1253,36.0,Female,Desktop,Bottom,Shopping,Morning,1
6620,User6620,52.0,Female,Tablet,Top,,Morning,1
7086,User7086,30.0,Non-Binary,Mobile,Top,,Unknown,1
2173,User2173,52.0,Male,Mobile,Bottom,Shopping,Night,1
4742,User4742,31.0,Male,Desktop,Bottom,,Night,1
5890,User5890,56.0,Female,Mobile,Bottom,,Night,1
487,User487,28.0,Male,Mobile,Side,,Afternoon,1
8937,User8937,57.0,Male,Tablet,Side,,Afternoon,1
3144,User3144,24.0,Male,Desktop,Side,Shopping,Morning,1
6237,User6237,32.0,Non-Binary,Mobile,Top,News,Morning,1
4945,User4945,31.0,Male,Tablet,Top,Social Media,Morning,1
2934,User2934,26.0,Non-Binary,Desktop,Top,,Afternoon,1
234,User234,19.0,Female,Tablet,Bottom,,Morning,1
7582,User7582,50.0,Male,Tablet,Side,,Night,0
4391,User4391,39.0,Non-Binary,Mobile,,News,Night,0
7464,User7464,52.0,Non-Binary,Tablet,Bottom,News,Afternoon,0
4683,User4683,50.0,Non-Binary,Desktop,,,Unknown,0
9589,User9589,54.0,Non-Binary,Tablet,Bottom,Shopping,Night,0
2602,User2602,61.0,Female,Desktop,Side,Shopping,Unknown,1
7808,User7808,26.0,Female,Desktop,,,Night,1
6075,User6075,32.0,Non-Binary,Desktop,Side,,Night,1
9090,User9090,41.0,Male,Desktop,Side,,Morning,1
4756,User4756,59.0,Non-Binary,Mobile,Bottom,Education,Evening,1
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1
5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1
5329,User5329,54.0,Male,Tablet,,Education,Unknown,1
3330,User3330,49.0,Male,Desktop,Top,News,Afternoon,1
4707,User4707,21.0,Non-Binary,Desktop,Top,,Evening,1
4871,User4871,58.0,Female,Desktop,Side,,Night,1
2057,User2057,33.0,Non-Binary,Mobile,Bottom,,Unknown,0
2973,User2973,27.0,Non-Binary,Tablet,Bottom,,Unknown,1
2173,User2173,52.0,Male,Mobile,Bottom,Shopping,Night,1
7808,User7808,26.0,Female,Desktop,Top,,Night,1
5288,User5288,43.0,Female,Mobile,Top,News,Evening,0
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1
6854,User6854,32.0,Male,Mobile,,,Night,1
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Evening,1
9677,User9677,39.0,Non-Binary,Mobile,,Education,Night,0
2485,User2485,57.0,Non-Binary,Mobile,Bottom,News,Night,1
1762,User1762,41.0,Male,Desktop,Side,Entertainment,Afternoon,1
4756,User4756,59.0,Non-Binary,Mobile,Bottom,Education,Evening,1
1525,User1525,46.0,Male,Tablet,Top,,Unknown,0
3430,User3430,61.0,Male,Desktop,,,Unknown,1
1658,User1658,27.0,Female,Mobile,Side,News,Night,0
1969,User1969,46.0,Non-Binary,Mobile,Bottom,,Night,1
6765,User6765,46.0,Female,Tablet,Side,Entertainment,Morning,1
2114,User2114,20.0,Male,Tablet,Bottom,,Morning,0
8044,User8044,34.0,Male,Tablet,Bottom,,Unknown,0
2384,User2384,37.0,Non-Binary,Desktop,Side,Education,Afternoon,0
301,User301,59.0,Male,Tablet,Side,Social Media,Unknown,1
6086,User6086,24.0,Male,Desktop,Bottom,,Morning,1
1283,User1283,57.0,Male,Mobile,Top,Social Media,Afternoon,0
4945,User4945,31.0,Male,Tablet,Top,Social Media,Morning,1
1304,User1304,22.0,Male,Desktop,Bottom,,Evening,0
3037,User3037,36.0,Male,Mobile,,,Morning,1
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1
1908,User1908,26.0,Male,Mobile,Bottom,Education,Evening,1
3126,User3126,18.0,Female,Mobile,Bottom,Education,Night,0
1372,User1372,51.0,Non-Binary,Tablet,Top,,Evening,0
1122,User1122,49.0,Non-Binary,Tablet,Top,,Morning,1
1420,User1420,62.0,Non-Binary,Desktop,Bottom,News,Morning,1
7491,User7491,28.0,Female,Mobile,Bottom,Education,Afternoon,0
1420,User1420,62.0,Non-Binary,Desktop,Bottom,News,Morning,1
6161,User6161,61.0,Female,Tablet,,,Unknown,1
9990,User9990,25.0,Male,Desktop,Side,,Night,1
7674,User7674,43.0,Female,Tablet,Bottom,News,Afternoon,1
3044,User3044,34.0,Male,Desktop,Top,News,Night,1
4694,User4694,29.0,Female,Mobile,Top,Entertainment,Afternoon,0
5285,User5285,62.0,Female,Mobile,Top,,Unknown,0
6409,User6409,52.0,Male,Desktop,Top,,Unknown,1
1586,User1586,38.0,Non-Binary,Desktop,Top,Shopping,Night,1
1972,User1972,33.0,Non-Binary,Desktop,,,Night,0
9990,User9990,25.0,Male,Desktop,Side,Education,Night,1
7908,User7908,34.0,Male,Mobile,Side,Social Media,Night,0
6471,User6471,36.0,Female,Desktop,Top,Education,Evening,0
9220,User9220,21.0,Female,Mobile,Side,,Night,1
6248,User6248,48.0,Female,Mobile,Top,,Evening,1
5055,User5055,45.0,Male,Desktop,Top,Education,Morning,1
2535,User2535,61.0,Male,Mobile,Bottom,Shopping,Unknown,0
6075,User6075,32.0,Non-Binary,Desktop,,,Night,1
8326,User8326,23.0,Female,Desktop,Bottom,Entertainment,Evening,1
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
1635,User1635,54.0,Female,Tablet,,,Evening,1
7973,User7973,28.0,Female,Mobile,Bottom,Shopping,Morning,1
3022,User3022,37.0,Non-Binary,Desktop,,News,Evening,0
5458,User5458,41.0,Non-Binary,Desktop,Bottom,,Evening,0
5796,User5796,46.0,Non-Binary,Mobile,Bottom,News,Afternoon,1
8255,User8255,22.0,Female,Mobile,Side,Entertainment,Evening,0
2174,User2174,36.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
1589,User1589,60.0,Female,Mobile,Side,Shopping,Afternoon,0
9875,User9875,58.0,Male,Tablet,,,Unknown,0
5912,User5912,41.0,Non-Binary,Mobile,,,Night,1
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1
1529,User1529,20.0,Female,Mobile,Top,Entertainment,Unknown,1
2096,User2096,48.0,Non-Binary,Desktop,,,Night,1
4284,User4284,40.0,Non-Binary,Tablet,Side,,Afternoon,0
8326,User8326,23.0,Female,Desktop,Bottom,Entertainment,Unknown,1
6129,User6129,36.0,Male,Tablet,Bottom,Shopping,Unknown,1
2602,User2602,61.0,Female,Desktop,,Shopping,Afternoon,1
7759,User7759,45.0,Non-Binary,Mobile,Bottom,,Morning,0
1730,User1730,42.0,Female,Tablet,Side,,Unknown,0
2431,User2431,54.0,Male,Desktop,Top,,Night,1
4166,User4166,33.0,Male,Tablet,Top,News,Night,0
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
3044,User3044,34.0,Male,Desktop,Top,,Night,1
518,User518,29.0,Male,Tablet,Bottom,Shopping,Morning,1
5531,User5531,34.0,Male,Desktop,,News,Night,1
8789,User8789,44.0,Female,Desktop,Top,Entertainment,Evening,1
4620,User4620,43.0,Non-Binary,Mobile,Side,,Night,1
1141,User1141,37.0,Male,Desktop,Bottom,,Afternoon,1
6409,User6409,52.0,Male,Desktop,Top,,Night,1
98,User98,58.0,Female,Mobile,,,Night,0
1910,User1910,63.0,Male,Desktop,Side,,Night,1
6074,User6074,35.0,Male,Mobile,Bottom,,Afternoon,1
1721,User1721,34.0,Non-Binary,Mobile,Bottom,,Afternoon,1
2973,User2973,27.0,Non-Binary,Tablet,Bottom,,Night,1
23,User23,30.0,Male,Mobile,Side,Shopping,Morning,0
1975,User1975,30.0,Female,Mobile,,Social Media,Morning,1
5912,User5912,41.0,Non-Binary,Mobile,Side,Education,Night,1
7229,User7229,43.0,Non-Binary,Mobile,Top,Social Media,Night,1
4363,User4363,18.0,Female,Mobile,Bottom,Entertainment,Night,0
4539,User4539,54.0,Male,Mobile,,,Night,1
4059,User4059,27.0,Non-Binary,Desktop,Bottom,,Morning,0
4404,User4404,21.0,Female,Desktop,,Social Media,Morning,0
5041,User5041,59.0,Male,Desktop,Side,Shopping,Evening,0
8937,User8937,57.0,Male,Tablet,,,Afternoon,1
8097,User8097,30.0,Non-Binary,Tablet,Side,,Evening,1
6989,User6989,28.0,Male,Mobile,,,Afternoon,1
4756,User4756,59.0,Non-Binary,Mobile,Bottom,Education,Unknown,1
1253,User1253,36.0,Female,Desktop,Bottom,Shopping,Morning,1
3647,User3647,23.0,Male,Desktop,,,Night,0
2023,User2023,19.0,Non-Binary,Desktop,Top,,Morning,1
4890,User4890,43.0,Male,Tablet,Bottom,,Afternoon,1
2239,User2239,25.0,Female,Tablet,Bottom,,Morning,1
5707,User5707,34.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
9172,User9172,60.0,Female,Mobile,Bottom,,Evening,0
